title,category,url,description,link_name_1,link_url_1,link_name_2,link_url_2,link_name_3,link_url_3
census.ire.org,Demographics,http://census.ire.org/,Site designed to provide journalists with a simpler way to access 2000 and 2010 Census data so they can spend less time importing and managing the data and more time exploring and reporting the data.,News: Knight funding expands IREâ€™s journalist-friendly Census site,http://www.niemanlab.org/2012/10/knight-funding-expands-ires-journalist-friendly-census-site/,,,,
,Education,ftp://ftpfinance.isbe.net/,,,,,,,
National Center for Education Statistics: Data & Tools,Education,http://nces.ed.gov/datatools/,,,,,,,
OpenStreetMap,Geography,http://openstreetmap.org,"A wiki map, built on data submitted by volunteers and public data sources. The data is available and free to use through the OpenStreetMap API and bulk downloads.",Homepage,http://openstreetmap.org,Chicagoland Download,http://metro.teczno.com/#chicago,OpenStreetMap API,http://wiki.openstreetmap.org/wiki/API_v0.6
Medicare Provider Charge Data,Health,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/Medicare-Provider-Charge-Data/index.html,Information comparing what providers charge for the 100 most common inpatient services and 30 common outpatient services.,,,,,,
Institute for Housing Studies Data Portal,Housing,http://www.housingstudies.org/dataportal/info/,Data on housing trends for Chicago-area communities.,Tutorial: Exploring Property Sales Data,http://www.housingstudies.org/news/blog/exploring-property-sales-data-ihs-data-portal/,Tutorial: Using Mortgage Data,http://www.housingstudies.org/news/blog/using-mortgage-data-ihs-data-portal/,,
Woodstock Institute Data Portal,Housing,http://www.woodstockinst.org/content/foreclosure,"Data for the Chicago six county region on foreclosures, mortgage applications, housing, income and employment.",Tutorial: Woodstock Institute Data Portal Training,http://www.woodstockinst.org/research/woodstock-institute-data-portal-training,,,,
Federal Register,Law,https://www.federalregister.gov/developers/api/v1,,,,,,,
Socrata Open Data,Municipal,https://opendata.socrata.com/browse?q=chicago&sortBy=relevance&utf8=%E2%9C%93,One-off datasets uploaded by different groups to Socrata's catch-all data portal. Who knows what juicy data you'll find here!,,,,,,
WBEZ,"Schools, crime, municipal, Education",https://opendata.socrata.com/profile/WBEZ/p6ex-wt2f,Data sets collected from WBEZ investigative reports. Includes data from the CPD (crime) and CPS (schools).,,,,,,
Illinois school report cards,"Schools, Education",http://schools.chicagotribune.com/data-api.html,"Each year, the Illinois State Board of Education releases 'report cards,'' detailed analyses of the performance of public schools and school districts in Illinois, in accordance with state and federal law. The Chicago Tribune has made this data available via an API.",2013 Illinois school report cards,http://schools.chicagotribune.com/,,,,
Center for Neighborhood Technology,Sustainability,http://apps.cnt.org/hackathon/,"Housing + Transportation Affordability Index, nearby public transit station locations, and selected sustainability-related demographics from the 2000 and 2010 census.",CNT Apps,http://apps.cnt.org/,Reinventing Chicago Hackathon,http://www.cnt.org/calendar/reinventing-chicago/hackathon/,,